Fuente,Título,Fecha,Link,Palabra clave,Oración,Lugar detectado,Latitud,Longitud
El Sol de Toluca,1,"Ciudad de Toluca, 4 de mayo de 2025",https://oem.com.mx/elsoldetoluca/local/habra-nuevos-registros-para-el-programa-mujeres-con-bienestar-del-edomex-23085251,incendio,"La práctica descontrolada de quemas para regenerar pasto ha provocado incendios forestales en las faldas del volcán, debilitando árboles, propagando plagas y poniendo en riesgo el ecosistema de esta Área Natural Protegida del Estado de México, advierte un ecologías ¿Te quedas fuera de la conversación?",,,
El Sol de Toluca,1,"Ciudad de Toluca, 4 de mayo de 2025",https://oem.com.mx/elsoldetoluca/local/habra-nuevos-registros-para-el-programa-mujeres-con-bienestar-del-edomex-23085251,quema,"La práctica descontrolada de quemas para regenerar pasto ha provocado incendios forestales en las faldas del volcán, debilitando árboles, propagando plagas y poniendo en riesgo el ecosistema de esta Área Natural Protegida del Estado de México, advierte un ecologías ¿Te quedas fuera de la conversación?",,,
El Sol de Toluca,1,"Ciudad de Toluca, 4 de mayo de 2025",https://oem.com.mx/elsoldetoluca/local/habra-nuevos-registros-para-el-programa-mujeres-con-bienestar-del-edomex-23085251,forestal,"La práctica descontrolada de quemas para regenerar pasto ha provocado incendios forestales en las faldas del volcán, debilitando árboles, propagando plagas y poniendo en riesgo el ecosistema de esta Área Natural Protegida del Estado de México, advierte un ecologías ¿Te quedas fuera de la conversación?",,,
El Sol de Toluca,2,"Ciudad de Toluca, 4 de mayo de 2025",https://oem.com.mx/elsoldetoluca/local/abandonadas-y-sin-plan-de-reactivacion-asi-lucen-las-plazas-gastronomicas-de-toluca-22901493,incendio,"La práctica descontrolada de quemas para regenerar pasto ha provocado incendios forestales en las faldas del volcán, debilitando árboles, propagando plagas y poniendo en riesgo el ecosistema de esta Área Natural Protegida del Estado de México, advierte un ecologías ¿Te quedas fuera de la conversación?",,,
El Sol de Toluca,2,"Ciudad de Toluca, 4 de mayo de 2025",https://oem.com.mx/elsoldetoluca/local/abandonadas-y-sin-plan-de-reactivacion-asi-lucen-las-plazas-gastronomicas-de-toluca-22901493,quema,Tampoco se ha definido un nuevo esquema de uso o reubicación para los comerciantes que los ocuparon y que hoy están en las calles.,,,
El Sol de Toluca,2,"Ciudad de Toluca, 4 de mayo de 2025",https://oem.com.mx/elsoldetoluca/local/abandonadas-y-sin-plan-de-reactivacion-asi-lucen-las-plazas-gastronomicas-de-toluca-22901493,quema,"La práctica descontrolada de quemas para regenerar pasto ha provocado incendios forestales en las faldas del volcán, debilitando árboles, propagando plagas y poniendo en riesgo el ecosistema de esta Área Natural Protegida del Estado de México, advierte un ecologías ¿Te quedas fuera de la conversación?",,,
El Sol de Toluca,2,"Ciudad de Toluca, 4 de mayo de 2025",https://oem.com.mx/elsoldetoluca/local/abandonadas-y-sin-plan-de-reactivacion-asi-lucen-las-plazas-gastronomicas-de-toluca-22901493,forestal,"La práctica descontrolada de quemas para regenerar pasto ha provocado incendios forestales en las faldas del volcán, debilitando árboles, propagando plagas y poniendo en riesgo el ecosistema de esta Área Natural Protegida del Estado de México, advierte un ecologías ¿Te quedas fuera de la conversación?",,,
El Sol de Toluca,2,"Ciudad de Toluca, 4 de mayo de 2025",https://oem.com.mx/elsoldetoluca/local/abandonadas-y-sin-plan-de-reactivacion-asi-lucen-las-plazas-gastronomicas-de-toluca-22901493,controlado,El objetivo era trasladar a los vendedores de alimentos y productos tradicionales a un entorno controlado.,,,
El Sol de Toluca,3,"Ciudad de Toluca, 4 de mayo de 2025",https://oem.com.mx/elsoldetoluca/local/anuncian-tarifa-cero-en-autopistas-para-usuarios-que-viajen-desde-el-aifa-23056499,incendio,"La práctica descontrolada de quemas para regenerar pasto ha provocado incendios forestales en las faldas del volcán, debilitando árboles, propagando plagas y poniendo en riesgo el ecosistema de esta Área Natural Protegida del Estado de México, advierte un ecologías ¿Te quedas fuera de la conversación?",,,
El Sol de Toluca,3,"Ciudad de Toluca, 4 de mayo de 2025",https://oem.com.mx/elsoldetoluca/local/anuncian-tarifa-cero-en-autopistas-para-usuarios-que-viajen-desde-el-aifa-23056499,quema,"La práctica descontrolada de quemas para regenerar pasto ha provocado incendios forestales en las faldas del volcán, debilitando árboles, propagando plagas y poniendo en riesgo el ecosistema de esta Área Natural Protegida del Estado de México, advierte un ecologías ¿Te quedas fuera de la conversación?",,,
